,DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media
39,2022-08-30 23:57:59+00:00,1564764398543114242, i get it but nancy mace &gt;&gt;&gt;&gt;&gt; dixon in terms of abortion messaging,BeshearStan,en,,1,0,4,0,
40,2022-08-30 23:57:58+00:00,1564764397217751041,  Curious what your thoughts on the violence of abortion?,Cynthia65047875,en,,0,0,2,0,
41,2022-08-30 23:57:57+00:00,1564764390502580224,"So the only thing democrats did about the christo fascists making abortion illegal is to say they’ll fund more cops who will inevitably arrest people trying to avoid forced births 
Cracking stuff gromit",MalkyDungeon,en,,0,1,6,0,
42,2022-08-30 23:57:54+00:00,1564764379186434057,  So Rob agrees pregnant women w their lives in danger or raped like a 10 yr old can't get an abortion. And the insurrection wasn't real. Police didn't die. Politicians lives weren't in danger. Hate crimes are up.  Ur giving up ur career for that America.  Good for you,Charles43085118,en,,0,0,0,0,
43,2022-08-30 23:57:50+00:00,1564764363084398595,"

FORMER ANTI-ABORTION TEXAS RIGHT TO LIFE POLITICAL DIRECTOR CHARGED WITH SOLICITING SEX FROM MINOR ",samlo_xo,en,['GQPGroomers'],1,20,26,8,
44,2022-08-30 23:57:49+00:00,1564764357673852929,"   Anuja Singh, MD
Obstetrics Gynecology posts misleading commercial on 6pm  , Bc Doe vs Gomez 1995 MN Supreme Court makes ABORTION forever legal in MN , regardless of a Governor's stance. Cover that case , and be fair to Dr Scott Jensen as you are to Tim Walz.",TraderJohn990,en,,0,0,0,0,
45,2022-08-30 23:57:47+00:00,1564764348697874432,     The democratic platform is pro choice. The Republican platform is actively supporting banning abortion. McConnell has said a federal ban is on the table. Naming  one Democratic politician doesn’t change that.,Rachaelmason,en,,0,0,0,0,
46,2022-08-30 23:57:44+00:00,1564764336320647168," Serious question. The Bible isn’t 100% clear on abortion. There are references, but even those can be debated. Is it possible that this is a matter of free will?",ElizabethTN81,en,,7,0,3,0,
47,2022-08-30 23:57:43+00:00,1564764333191593986," Pre Dobbs-
I just went to abortion clinic and they sucked the baby right out of me. I was 8 months pregnant and decided the baby was going to be burdensome to my career so wham, suck, pull I’m not pregnant anymore.",RickPow85692431,en,,0,0,0,0,
48,2022-08-30 23:57:42+00:00,1564764329378979840,"   And while you're at it, explain to me why a 10 year old girl had to cross state lines to get an abortion after she was raped.",DWard64108,en,,0,0,0,0,
49,2022-08-30 23:57:35+00:00,1564764299754893313,  SALUD Y VIDA LAS ULTIMAS NOTICIAS Abortion pill: Why Japanese women will need their partner's consent to get a tablet  SEGUROS EN ECUADOR  Contáctenos!    ,PensikkalaRomo,es,"['Seguros', 'Ecuador', 'Vida']",0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fbco1reagAAJ9ki?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbco1reagAAJ9ki?format=jpg&name=orig', altText=None)]"
50,2022-08-30 23:57:33+00:00,1564764290586144768,"Despite Gov. J.B. Pritzker’s focus on abortion rights, prospects dimming for special legislative session before November election  ",GreaterCHI,en,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fbco1GsaAAA1c-R?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbco1GsaAAA1c-R?format=jpg&name=orig', altText=None)]"
51,2022-08-30 23:57:33+00:00,1564764290262990848,"    Lol, so you have no idea what “misogynist” means.  Look in your mirror.  The entire anti-abortion stance is pure misogyny.",notabrokenthing,en,,1,0,0,0,
52,2022-08-30 23:57:27+00:00,1564764265902399489,  Yet Locust Abortion Technician concert was the best one I’ve ever attended!,epilepticidiot,en,,0,0,0,0,
53,2022-08-30 23:57:26+00:00,1564764259887845376,   Abortion isn’t illegal just given back to the states where it belongs,RyanGre40584971,en,,1,0,0,0,
54,2022-08-30 23:57:21+00:00,1564764241046937602,"Hi friends in the UK, please sign this petition for adding abortion rights to the Bill of Rights in UK gov 

",cursedy__,en,,0,0,5,0,
55,2022-08-30 23:57:19+00:00,1564764231001595904,"  But overall, as this is just one instance, it’s helpful to consider that numerous women have reported other scenarios in which abortion is a decision they never wished to make but was necessitated by other medical crises. 3/",AnnaCaudill4,en,,1,0,1,0,
56,2022-08-30 23:57:19+00:00,1564764230913605633,"        Abortion is biblical...if a young girl was found pregnant in Biblical times, she was stoned alive, along with her unborn fetus...and there's so much more... ",TruthSeiker,en,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FbcoxCcWQAY5pQf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbcoxCcWQAY5pQf?format=jpg&name=orig', altText=None)]"
57,2022-08-30 23:57:16+00:00,1564764220759187473,"  People also mistakenly thought there was a constitutional right to an abortion. People can be wrong, go figure.",ultamis,en,,3,0,4,0,
58,2022-08-30 23:57:12+00:00,1564764204590141442,Abortion pill: Why Japanese women will need their partner's consent to get a tablet ,bbchealth,en,,0,3,7,2,
59,2022-08-30 23:57:10+00:00,1564764196390281217," the most important issue facing Georgia right now, while abortion access is the top concern to 20% of Georgians.Warnock is very vocal about his pro-abortion stance, often referring to himself as the ""pro-choice pastor,"" but he refuses to..",argo_times,en,,0,0,0,0,
